"actor","gender"
"Bruce Lee","male"
"Lǐ Xiǎolóng","male"
"Lei Siu Long","male"
"Helen Atkinson-Wood","female"
"Ilona Staller","female"
"Beckett Bould","male"
"Céline Bara","female"
"Erika Mabuchi","female"
"James Lindsay","male"
"Joanne Peh","female"
"Bái Wēixìu","female"
"白薇秀","female"
"John Light","male"
"Michela Miti","female"
"Paige Chua","female"
"Cài Qíhuì","female"
"蔡琦慧","female"
"Robert Baldwin","male"
"Shiro Kishibe","male"
"Sir George White, 1st Baronet","male"
"Suzy Mandel","female"
"Édouard Collin","male"
"Akari Hibino","female"
"Alexis Amore","female"
"Allie Haze","female"
"Babben Larsson","female"
"Ben Cartwright","male"
"Birgitta Valberg","female"
"Brian Trueman","male"
"Brigitte Lin","female"
"林青霞","female"
"Lín Qīngxiá","female"
"lam4 cing1 haa4","female"
"Bunko Kanazawa","female"
"Caryn Richman","female"
"Charlie Hall","male"
"Christian Casadesus","male"
"Claude Bertrand","male"
"Cyrille Bara","male"
"Essy Persson","female"
"Felix Lok","male"
"駱應鈞","male"
"骆应钧","male"
"Frederick William Matthiessen","male"
"Fukumi Kuroda","female"
"Gary Bakewell","male"
"Gigi Lai","female"
"Lai4 Zi1","female"
"Lí Zī","female"
"黎姿","female"
"Guy Boyd","male"
"Guy Buyd","male"
"Guy Newall","male"
"Haruna Yabuki","female"
"Hideo Kanze","male"
"Hideo Murota","male"
"Hitomi Kudo","female"
"Isabelle Amyes","female"
"Isabelle Corey","female"
"Isabelle Nanty","female"
"Isabelle Sadoyan","female"
"Isako Washio","female"
"James Deen","male"
"James Ryan","male"
"Jamie Gillis","male"
"Jamie Treacher","male"
"Jeffrey Perry","male"
"Jia Hongsheng","male"
"Jiǎ Hóngshēng","male"
"賈宏聲","male"
"贾宏声","male"
"Jonathan Scott","male"
"Katsuo Nakamura","male"
"Louisa Moritz","female"
"Loulou von Brochwitz","female"
"Louann von Brochwitz","female"
"Machiko Washio","female"
"Shigeo Kiyama","female"
"Maria Whittaker","female"
"Masaki Okada","male"
"Meng Jia","female"
"Mèng Jia","female"
"孟佳","female"
"Michael Culkin","male"
"Michael Hawkins","male"
"Michael Wong","male"
"王敏德","male"
"Mike Aamodt","male"
"Michael G. Aamodt","male"
"Minoru Chiaki","male"
"Minoru Shiraishi","male"
"Mirei Kuroda","female"
"Mona Geijer-Falkner","female"
"Nana Natsume","female"
"Natasja Vermeer","female"
"Nick Patrick","male"
"Nils Moritz","male"
"Nina Li","female"
"Nina Li Chi","female"
"Lì Zhì","female"
"利智","female"
"Per Eggers","male"
"Rashami Desai","female"
"Renée Björling","female"
"Renée Faure","female"
"Rie Ishizuka","female"
"Rie Kanda","female"
"Robert Hirsch","male"
"Robert Urquhart","male"
"Rosamund Kwan","female"
"Guān Zhīlín","female"
"Gwaan1 Zi1lam4","female"
"Rosamund Kwan Chi Lam","female"
"Ryōko Nagata","female"
"Samuel Haus","male"
"Shinsuke Ashida","male"
"Simon Cook","male"
"Stephen Marchant","male"
"Stuart Smith","male"
"Takayasu Usui","male"
"Thibault Vinçon","male"
"Tomiko Ishii","female"
"Tsutomu Kashiwakura","male"
"Tsutomu Kitagawa","male"
"Tsutomu Yamazaki","male"
"Wang Yan","female"
"Wáng Yàn","female"
"Wendy Williams","female"
"Yang Yang","male"
"Yáng Yáng","male"
"杨洋","male"
"You","female"
"Youki Kudoh","female"
"Yurika Hino","female"
"Chuy Bravo","male"
"Janina Faye","female"
"Ryōko Mitake","female"
"Adele Wong","female"
"Wáng Huìshān","female"
"王惠珊","female"
"Akiho Yoshizawa","female"
"Alex Winters","male"
"Alien Huang","male"
"Huáng Hóng Shēng","male"
"Wong4 Hung4 Sing1","male"
"黃鴻升","male"
"黄鸿升","male"
"Anastasia Mayo","female"
"Aria Giovanni","female"
"Ariel Rebel","female"
"Baron Chen","male"
"chénchùhé","male"
"陈楚河","male"
"陳楚河","male"
"Barrett Long","male"
"Emily Zheng","female"
"Chen Si-Ya","female"
"Si Ya","female"
"Carter Stevens","male"
"Choky Ice","male"
"Christine Kuo","female"
"Debbie Moore","female"
"Diesel Washington","male"
