"director"
"Andrzej Wajda"
"Billy Wilder"
"Blake Edwards"
"Elia Kazan"
"Godfrey Reggio"
"John Carpenter"
"Luc Besson"
"Luchino Visconti"
"Peter Weir"
"Robert Altman"
"Ted Demme"
"Terry Gilliam"
"Tod Browning"
"Tony Richardson"
"Vittorio De Sica"
"Wim Wenders"
"Woody Allen"
"Marcello Albani"
"Bimal Roy"
"Griffin Dunne"
"Henry Edwards"
"Hideo Nakata"
"中田 秀夫"
"John Landis"
"Jun Fukuda"
"Kimio Yabuki"
"Krzysztof Zanussi"
"Maher Sabry"
"Nanni Moretti"
"Tony Giglio"
"Walt Becker"
"Oliver Stone"
"Peter J McCarthy"
"Bruno Corbucci"
"David Zucker"
"George Sherman"
"Jan Hřebejk"
"Karl Brown"
"Mike Figgis"
"Zhao Liang"
"Stanley Donen"
"George Archainbaud"
"J. Searle Dawley"
"Peter Graham Scott"
"Brenton Spencer"
"Kamalakara Kameswara Rao"
"Kamalakara Kameshwara Rao"
"Betty Kaplan"
"Lewis Teague"
"Donna Deitch"
"Edwin Carewe"
"Leslie H. Martinson"
"Carol Reed"
"Sir Carol Reed"
"Sidney Olcott"
"Dan Curtis"
"Wayne Wang"
"王穎"
"王颖"
"Gustaf Gründgens"
"Mehboob Khan"
"Muriel Box"
"Lloyd Bacon"
"John Francis Dillon"
"Rupert Sanders"
"Mac Alejandre"
"Steve Carr"
"Alexander Gruszynski"
"Alexander Gruszynski, A.S.C."
"Georgi Djulgerov"
"Francesco Laudadio"
"Jeff Nichols"
"Antonio Nuić"
"Lev Atamanov"
"Лев Атаманов"
"Reginald Fogwell"
"Robert Allan Ackerman"
"Terry Bishop"
"Jing Wang"
"Tom Terriss"
"Anthony Michael Hall"
"Barbet Schroeder"
"Frank Thomas"
"Henry King"
"Merian C. Cooper"
"Michael Moore"
"Michael Powell"
"Richard Kelly"
"Richard Lester"
"Ringo Lam"
"林岭东"
"林嶺東"
"Robert Zemeckis"
"Roger Donaldson"
"Douglas Sirk"
"Fred Zinnemann"
"John Hughes"
"Kenneth Branagh"
"Sir Kenneth Branagh"
"Anurag Basu"
"Gordon Parry"
"J. P. McGowan"
"Michael Kennedy"
"Prakash Raj"
"Rajat Kapoor"
"Robert Z. Leonard"
"Robert Zigler Leonard"
"Frank Borzage"
"Genndy Tartakovsky"
"A. Kodandarami Reddy"
"A. Kodanda Rami Reddy"
"Adolfo Alix Jr."
"Adolfo Alix, Jr."
"Eduardo Mignogna"
"John S. Robertson"
"Jonathan Liebesman"
"Saran"
"Tom Ricketts"
"Clifton Ko"
"Clifton KoM.H."
"高志森"
"Jack Gold"
"K. Vijaya Bhaskar"
"Otar Ioseliani"
"Otar Iosseliani"
"ოთარ იოსელიანი"
"Damian Harris"
"Edward H. Griffith"
"Karl Anton"
"Sam Weisman"
"Akira Kurosawa"
"Alfred Hitchcock"
"Sir Alfred Hitchcock"
"(KBE)"
"Allan Dwan"
"Andy Warhol"
"Brian De Palma"
"Cecil B. DeMille"
"Christopher Guest"
"Clarence Brown"
"Joel Coen and Ethan Coen"
"D. W. Griffith"
"David Cronenberg"
"David Lynch"
"Federico Fellini"
"Frank Capra"
"François Truffaut"
"Fritz Lang"
"George Lucas"
"Howard Hawks"
"Ingmar Bergman"
"James Cameron"
"John Frankenheimer"
"John Grierson"
"Jonathan Demme"
"Martin Scorsese"
"Quentin Tarantino"
"Rob Reiner"
"Stanley Kubrick"
"Steven Soderbergh"
"Steven Spielberg"
"Anne Bancroft"
"B. Reeves Eason"
"Dev Anand"
"Götz Spielmann"
"Hiroshi Inagaki"
"John Schlesinger"
"Kimberly Peirce"
"Koji Hashimoto"
"Nadia Tass"
"Norman Lear"
"Richard Marquand"
"Roland Emmerich"
"Sanjay Leela Bhansali"
"Vincente Minnelli"
"Yogaraj Bhat"
"Alfred J. Goulding"
"Andrew Bergman"
"Antoine Fuqua"
"Joe Berlinger"
"Michel Deville"
"Richard Fleischer"
"Richard O. Fleischer"
"A. Venkatesh"
"Ben Burtt"
"David Howard"
"David Swift"
"George Pearson"
"Homi Adajania"
"Irvin Kershner"
"John Badham"
"Margot Benacerraf"
"Richard Pottier"
"Toshio Masuda"
"Agnieszka Wojtowicz-Vosloo"
"Donald Cammell"
"Jonathan Mostow"
"Kenji Misumi"
"Ravi Jadhav"
"Élie Chouraqui"
"David Carradine"
"Yoshimitsu Banno"
"Alexander Payne"
"Michael Apted"
"Nicholas Ray"
"Stephen Daldry"
"F. Gary Gray"
"Joe Dante"
"Ken Kwapis"
"Larry Buchanan"
"Lou Antonio"
"Mina Shum"
"Robert Benton"
"Stan Lathan"
"Tim Hill"
"William Dieterle"
"Michel Hazanavicius"
"Alan Alda"
"Josef Rusnak"
"Marcello Ciorciolini"
"Victor Heerman"
"Jeff Pollack"
"Bill Corcoran"
"Arthur Marks"
"Barry Cook"
"Crossbelt Mani"
"Stephen Cone"
"Jalmari Helander"
"David Miller"
"Mike Newell"
"Robert Stevenson"
"Shinji Aramaki"
"Daniel Burman"
"David Butler"
"Edward Bazalgette"
"Goran Marković"
"Gower Champion"
"Henry Hathaway"
"Howard Davies"
"Jacques Martineau"
"Ladislao Vajda"
"Lauren Montgomery"
"Lawrence Kasdan"
"Raj Chakraborty"
"Stephen Hopkins"
"W. S. Van Dyke"
"Eduardo Montes-Bradley"
"Isaac Florentine"
"Nancy Savoca"
"Rocky Morton"
"Astron-6"
"Roopa Iyer"
"Beth B"
"Scott B"
"Geoffrey Enthoven"
"Joe Massot"
"Jerry Ciccoritti"
"Jim Sotos"
"Manivannan"
"S Manivannan"
"Patrik-Ian Polk"
"Stephen Page"
"Claude Miller"
"Fielder Cook"
"William A. Berke"
"Robert Clouse"
"Graham Cutts"
"Rob Epstein"
"Shen Xiling"
"沈西苓"
"Albert de Courville"
"Fernando de Fuentes"
"Kalavoor Ravikumar"
"Louis Nero"
"Michal Bat-Adam"
"Lijin Jose"
"Clyde Geronimi"
"Curtis Bernhardt"
"David Jones"
"David Hugh Jones"
"Davis Guggenheim"
"George A. Romero"
"Lal Jose"
"Nikolay Fyodorov"
"Polly Draper"
"Stephen Chow"
"周星馳"
"周星驰"
"Zau1 Sing1ci4"
"Zhōu Xīngchí"
"Vivi Friedman"
"Ewald André Dupont"
"F. W. Murnau"
"Jean-Pierre Jeunet"
"John G. Avildsen"
"King Vidor"
"Leo McCarey"
"Lewis Milestone"
"M. Night Shyamalan"
"Michael Curtiz"
"Mike Nichols"
"Nicolas Roeg"
"Paul Verhoeven"
"Roger Corman"
"Terrence Malick"
"Warren Beatty"
"William Wyler"
"Allen Baron"
"Brian Desmond Hurst"
"Arthur Hiller"
"J. Stuart Blackton"
"James Stuart Blackton"
"James Parrott"
"James Gibbons Parrott"
"Edward Dmytryk"
"Jim Sheridan"
"Marc Evans"
"Shyam Benegal"
"श्याम बेनेगल -شیام بینیگل"
"Todd Solondz"
"Adam Rapp"
"Archie Mayo"
"Eric Schaeffer"
"Irving Cummings"
"Jim O'Connolly"
"José Luis Sáenz de Heredia"
"Mark Steven Johnson"
"Ovidio G. Assonitis"
"Pablo Trapero"
"Ray Nazarro"
"V. V. Vinayak"
"Sherry Hormann"
"Don Chaffey"
"Aleksandr Medvedkin"
"Katt Shea"
"Miguel M. Delgado"
"Olivier Ducastel"
"Emin Alper"
"Ernesto Díaz Espinoza"
"Aashiq Abu"
"Jason Buxton"
"Charles Reisner"
"John Farrow"
"John Ford"
"Pier Paolo Pasolini"
"William Desmond Taylor"
"Alan J. Pakula"
"Carl Urbano"
"Hur Jin-ho"
"Ian Barry"
"Kim Ji-hoon"
"Kim Ji-hun"
"Marc Allégret"
"Mikio Naruse"
"Pantelis Voulgaris"
"Shūe Matsubayashi"
"Takao Okawara"
"George Mendeluk"
"Haro Senft"
"Hans Werckmeister"
"Terry O. Morse"
"Victor Saville"
"Emmett J. Flynn"
"Leesong Hee-il"
"Rasim Ojagov"
"Corrado D'Errico"
"Eugenio de Liguoro"
"Alan Parker"
"Sir Alan Parker"
"Barry Levinson"
"Bruce Beresford"
"Cameron Crowe"
"Darren Aronofsky"
"Ishirō Honda"
"Mamoru Oshii"
"Michael Bay"
"Mike Jittlov"
"Osamu Tezuka"
"Roger Nygard"
"Shinya Tsukamoto"
"Mario Monicelli"
"Alex Winter"
"Anne Wheeler"
"Balu Mahendra"
"Bruce Gowers"
"Jayme Monjardim"
"Joseph Kahn"
"Marco Brambilla"
"Michael Cacoyannis"
"Paul Almond"
"Peter Watkins"
"Tom Shadyac"
"George Stevens"
"Yash Chopra"
"Zacharias Kunuk"
"Norman Jewison"
"Robert Florey"
"Jan Švankmajer"
"Alex Garland"
"Harold Ramis"
"Gregg Araki"
"Jon Favreau"
"Kinji Fukasaku"
"深作 欣二"
"Neil Jordan"
"Nicholas Meyer"
"Tobe Hooper"
"Volker Schlöndorff"
"Mark Raso"
"Brian Hannant"
"Frank Richardson"
"Gordon Hessler"
"Jessie Nelson"
"Marleen Gorris"
"Robin Hardy"
"Takeshi Koike"
"Audrey Wells"
"Brian Yuzna"
"Coline Serreau"
"Ernest B. Schoedsack"
"James Goldstone"
"John Gulager"
"Lew Landers"
"Marshall Neilan"
"Mikael Håfström"
"Pramathesh Barua"
"Prathmesh Barua"
"Scott Derrickson"
"Tom Mankiewicz"
"Zoltan Korda"
"Bernhard Grzimek"
"Boris Sagal"
"John Byrum"
"Manuel Conde"
"Matt Williams"
"Motoyoshi Oda"
"Picha"
"Tamra Davis"
"Todd Field"
"Wisit Sasanatieng"
"Jeremiah S. Chechik"
"Adam Shankman"
"Alexandre Aja"
"Donald Shebib"
"Fred M. Wilcox"
"Jacques Audiard"
"Na Woon-gyu"
"P. Neelakantan"
"Sam Newfield"
"Anders Thomas Jensen"
"Henry Levin"
"Irving Pichel"
"Mark Sandrich"
"Peter Kosminsky"
"Simon West"
"Bobby Roth"
"Greg Mottola"
"Hannan Majid"
"John Carl Buechler"
"Major Ravi"
"Ray Patterson"
"Ti West"
"Tim Whelan"
"Benito Perojo"
"Christy Cabanne"
"Alan Boyd"
"Kit Ryan"
"Udayakantha Warnasuriya"
"Jack Hively"
"Jayabharathi"
"Jaybharathi"
"M. Jeevan"
"George King"
"Andrew Marton"
"Endre Marton"
"Bud Greenspan"
"Edmund Goulding"
"Julian Fellowes"
"The Lord Fellowes of West Stafford"
"Michael Ritchie"
"Nicolas Gessner"
"Raoul Walsh"
"Val Guest"
"Walter Hill"
"Elliot Silverstein"
"Norman Cohn"
"Tony Bancroft"
"Vic Sarin"
"Dana Ranga"
"Christian Schwochow"
"Anil Ravipudi"
"Bernard Bellefroid"
"Marcus Raboy"
"Miloslav Luther"
"Andrew Adamson"
"Ann Hui"
"許鞍華"
"许鞍华"
"Bruno Bozzetto"
"Joseph M. Schenck"
"Philippe de Broca"
"Richard Benjamin"
"Tony Goldwyn"
"Herbert Mason"
"John D. Lamond"
"Ricardo Becher"
"Shawn Ku"
"Viji Thampi"
"Herman Yau"
"Stephen Kijak"
"Clement Virgo"
"Dudley Murphy"
"Julian Richards"
"Stephen Elliott"
"Aki Kaurismäki"
"Emeric Pressburger"
"Kathryn Bigelow"
"Oscar Micheaux"
"Sam Mendes"
"Billy Ray"
"Chashi Nazrul Islam"
"David Kendall"
"George Butler"
"George Schaefer"
"John Lasseter"
"Paul Hoen"
"Raja Chanda"
"Ram Gopal Varma"
"రాం గోపాల్ వర్మ"
"Stephen Herek"
"Stijn Coninx"
"Tony Kaye"
"William C. deMille"
"William C. de Mille"
"Alan Johnson"
"Andrea Di Stefano"
"Augusto Genina"
"Daniel Gordon"
"Debbie Isitt"
"Frank Marshall"
"Gerald Thomas"
"Jack Arnold"
"John Sturges"
"Penny Marshall"
"Peter Yates"
"Samson Samsonov"
"Самсон Самсонов"
"Thulasidas"
"John Hough"
"John Irvin"
"Xavier Gens"
"C. Pullaiah"
"Fletcher Markle"
"Jeffrey Friedman"
"Kazuyuki Izutsu"
"Nelo Risi"
"Noam Murro"
"Pernilla August"
"Vincent McEveety"
"Zeki Demirkubuz"
"Carl Franklin"
"Edgar Kennedy"
"Frank Launder"
"Georg Stanford Brown"
"Jack Hulbert"
"James W. Horne"
"James Wesley Horne"
"Larry Charles"
"Lee Hirsch"
"Leslie Woodhead"
"Lizzy Borden"
"Yasuzo Masumura"
"Yasuzō Masumura"
"Alexander Sokurov"
"Betty Thomas"
"Bryan Singer"
"David DeFalco"
"James Keach"
"James Toback"
"Jerry Paris"
"Kenji Kamiyama"
"Leos Carax"
"Marcos Siega"
"Mike Hodges"
"Ole Bornedal"
"Patty Jenkins"
"Paul Czinner"
"Reginald Barker"
"Robert Hamer"
"Tay Garnett"
"Umberto Lenzi"
"Wang Xiaoshuai"
"Wáng Xiăoshuài"
"王小帅"
"王小帥"
"Géza von Bolváry"
"Michael Grzimek"
"Earl Bellamy"
"Ellen Kuras"
"Gordon Chan"
"陳嘉上"
"Chén Jiāshàng"
"陈嘉上"
"Joaquim Dos Santos"
"Mike Mitchell"
"Sam Jaeger"
"Shaji Kailas"
