"writer"
"Abbie Hoffman"
"Adam Oehlenschläger"
"Adam Gottlob Oehlenschläger"
"Adam Wiśniewski-Snerg"
"Adrienne Rich"
"Alessandro Manzoni"
"Alfred Bester"
"Alice Walker"
"Amy Tan"
"Andrew Marvell"
"Andrew Sarris"
"André Breton"
"André Malraux"
"Anne Desclos"
"Anthony Burgess"
"Arthur Machen"
"Astrid Lindgren"
"August Strindberg"
"Augusto Boal"
"Barry Took"
"Ben Jonson"
"Carl Sandburg"
"Charles Beaumont"
"Christopher Tolkien"
"Dafydd ap Gwilym"
"Damon Knight"
"David Eddings"
"David Foster Wallace"
"David Jones"
"David Zindell"
"Diana Wynne Jones"
"Edmond Hamilton"
"Edmund Blunden"
"Edna Ferber"
"Edward Albee"
"Edward Thomas"
"Philip Edward Thomas"
"Elizabeth Gaskell"
"Eric Corley"
"Ezra Pound"
"Ferdinand Peroutka"
"Ford Madox Ford"
"Frances Burney"
"François Villon"
"Fredric Brown"
"George Alec Effinger"
"George Farquhar"
"Georges Perec"
"Gerald of Wales"
"Gero von Wilpert"
"Greg Bear"
"Gregory Benford"
"Guy Gavriel Kay"
"Harry Turtledove"
"Hedd Wyn"
"Honoré de Balzac"
"Hugh Lofting"
"Hugh John Lofting"
"Irvine Welsh"
"Jack Jones"
"Jack London"
"Jack McDevitt"
"James White"
"Jeffrey Moussaieff Masson"
"Jeffrey Masson"
"Jerzy Grotowski"
"Johanna Schopenhauer"
"John Bellairs"
"John Bunyan"
"John Galsworthy"
"John Perry Barlow"
"José Saramago"
"José Zorrilla"
"Karel Čapek"
"Kate Chopin"
"Kevin J. Anderson"
"L. Sprague de Camp"
"Lyon Sprague de Camp"
"Leah Goldberg"
"Leigh Brackett"
"Lloyd Alexander"
"Lloyd deMause"
"Luise Gottsched"
"M. John Harrison"
"M. R. James"
"Maria Edgeworth"
"Marion Zimmer Bradley"
"Melvin Kranzberg"
"Mercedes Lackey"
"Metin Kaçan"
"Mikael Agricola"
"Milan Kundera"
"Mildred Benson"
"Mildred Wirt Benson"
"Molière"
"Murray Leinster"
"O. Henry"
"Oliver Goldsmith"
"Ovid"
"Paweł Jasienica"
"Phillis Wheatley"
"R. A. Lafferty"
"Ralph Ellison"
"Raymond Queneau"
"Richard Wright"
"Roald Dahl"
"Robert Asprin"
"Robert Lynn Asprin"
"Robert Graves"
"Robert Ludlum"
"Roger Ebert"
"Roger Zelazny"
"Hector Hugh Munro"
"Saki"
"Salman Rushdie"
"Samuel Johnson"
"Saul Bellow"
"Seamus Heaney"
"(MRIA)"
"Shmuel Yosef Agnon"
"Siegfried Sassoon"
"Sigrid Undset"
"Sinclair Lewis"
"Stan Rice"
