"film","directors","writers","countries"
"Nadina Bhagya","Rattihalli Nagendra Rao","R. Nagendra Rao","Bhārat Gaṇarājya; India"
"Historia de un beso","José Luis García Muñoz","José Luis Garci","Spain"
"Nujum Pak Belalang","Teuku Zakaria bin Teuku Nyak Puteh","P. Ramlee","Malaysia"
"Final Destination","David Richard Ellis","Eric Bress; Eric Heisserer; Glen Morgan; J. Mackye Gruber; Jeffrey Reddick","the United States"
"Thanga Magan","Velrajan","Velraj","Bhārat Gaṇarājya; India"
"Nandu","J. Alexander","J. Mahendran","Bhārat Gaṇarājya; India"
"En Bommukutty Ammavukku","A.M. Fazil","A. M. Fazil; Fazil; Gokula Krishnan","Bhārat Gaṇarājya; India"
"The Puppet Master Franchise","Charles Robert Band","Benjamin Carr; C. Courtney Joyner; Charles Band; David S. Goyer; David Schmoeller; Jo Duffy; Mary Jo Duffy; Steven E. Carr; Ted Nicolaou","the United States"
"Main Tera Hero","Rajinder Dhawan","Santosh Srinivas","Bhārat Gaṇarājya; India"
"Down to the Sea in Ships","Marquis Henri Léopold de Fiennes","John Lee Mahin; Sy Bartlett","the United States"
"Invincible","Werner Herzog Stipetić","Werner Herzog","Germany"
"Albino","Jürgen Goslar","Jürgen Goslar","''; Federal Republic of Germany; Rhodesia; South Africa; West Germany"
"The Three Musketeers","Paul William Scott Anderson; Stephen Robert Herek","Andrew Davies; David Loughery","Austria; France; Germany; United Kingdom"
"Aag","Ranbir Raj Kapoor","Inder Raj Anand","Bhārat Gaṇarājya; India"
"Kudumbam","S.A. Chandrasekar","S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Dharti Ke Lal","Khwaja Ahmad Abbas","Bijon Bhattacharya; Khwaja Ahmad Abbas; Khwaja Ahmad Abbas / K. A. Abbas; Krishan Chander","Bhārat Gaṇarājya; India"
"A Gentleman of Paris","Henri Charles Armand d'Abbadie d'Arrast","Benjamin Glazer","the United States"
"The Widow from Chicago","Edward Francis Cline","Earl Baldwin","the United States"
"In the Navy","Arthur William Lubovsky","Arthur T. Horman; John Grant","the United States"
"Nenjil Or Aalayam","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Mala hembra","Miguel Melitón Delgado Pardavé","Luis Alcoriza","Mexico"
"Desamuduru","Puri Jagannadh","Puri Jagannadh","Bhārat Gaṇarājya; India"
"Sarrainodu","Boyapati Srinivas","Boyapati Srinu","Bhārat Gaṇarājya; India"
"Les Démoniaques","Jean Michel Rollin Roth Le Gentil","Jean Rollin","France"
"Attimari","Nambiathusseril Varkey John","P. K. Sarangapani","Bhārat Gaṇarājya; India"
"Inland Empire","David Keith Lynch","David Lynch","Poland"
"Prathap","Srinivasa Sarja","Arjun Sarja","Bhārat Gaṇarājya; India"
"El Norte","Gregory James Nava","Anna Thomas; Gregory Nava","United Kingdom; the United States"
"The Girl Who Had Everything","Rollo Smolt Thorpe","Adela Rogers St. Johns; Art Cohn; Willard Mack","the United States"
"Reportaje","Emilio Fernández Romo","Emilio Fernández","Mexico"
"The Big Animal","Jerzy Oskar Stuhr","Krzysztof Kieślowski","Poland"
"Velvet Hands","Franco Castellano; Giuseppe Moccia","Castellano & Pipolo; Castellano and Pipolo","Italy"
"The Long Hot Summer","Stuart W. Cooper","William Faulkner","the United States"
"Mudramothiram","Nambiathusseril Varkey John","Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"Between Friends","James Stuart Blacktin","Robert W. Chambers; Robert William Chambers","the United States"
"There's a Zulu On My Stoep","Gray Hofmeyr","Gray Hofmeyr; Leon Schuster","South Africa"
"Goynar Baksho","Aparna","Aparna Sen","Bhārat Gaṇarājya; India"
"Manchu Pallaki","Nallamilli Bavireddy","Vamsy; Yandamuri Veerendranath","Bhārat Gaṇarājya; India"
"Arisan!","Nurkurniati Aisyah Dewi","Joko Anwar","Indonesia; Republik Indonesia"
"Raja Rishi","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"(aka Romance of a Fruit Peddler)","Zhang Weitong","Zheng Zhengqiu; 郑正秋; 鄭正秋","the People's Republic of China"
"Che","Steven Andrew Soderbergh","Peter Buchman","Spain"
"Stories of Our Lives","Jim Chuchu","Jim Chuchu","Jamhuri ya Kenya; Kenya"
"Life Is a Miracle","Emir Kusturica","Emir Kusturica","Republika Srbija; Serbia; Република Србија"
"Vijayanagarada Veeraputhra","Rattihalli Nagendra Rao","R. N. Jayagopal","Bhārat Gaṇarājya; India"
"Unhook the Stars","Nicholas David Rowland Cassavetes","Nick Cassavetes","France; the United States"
"Mina Walking","Yosef Baraki","Yosef Baraki","Afghanistan; Canada"
"Crime Doctor's Warning","William Schloss, Jr.","Eric Taylor","the United States"
"}{0ТТ@БЬ)Ч / Khottabych","Пётр Владимирович Точилин","Pyotr Tochilin","Russia"
"Jurassic Park III","Joseph Eggleston Johnston II","Alexander Payne; Jim Taylor; Peter Buchman","the United States"
"Won Ton Ton, the Dog Who Saved Hollywood","Robert Michael Winner","Arnold Schulman","the United States"
"La Mirada del Otro","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Go","Manish Srivastav","Arshad Sayed","Bhārat Gaṇarājya; India"
"Killing Veerappan","Penmetsa Ram Gopal Varma","Ram Gopal Varma; రాం గోపాల్ వర్మ","Bhārat Gaṇarājya; India"
"Before the Rain","Milcho Manchevski","Milcho Manchevski","France; Republic of Macedonia"
"Success at Any Price","Jacob Walter Ruben","John Howard Lawson","the United States"
"Capitalism: A Love Story","Michael Francis Moore","Michael Moore","the United States"
"MEENAVA NANBAN","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Meenatchi Thiruvilaiyadal","Kunnesscri Shankar","K. Shankar","Bhārat Gaṇarājya; India"
"True Grit","Ethan Jesse Coen; Joel David Coen","Joel Coen and Ethan Coen","the United States"
"Mr. America","Leonardo Ferrari Carissimi","Leonardo Ferrari Carissimi","Italy"
"Where the Wild Things Are","Adam Spiegel","Dave Eggers; Spike Jonze","Australia"
"La Nuit des Traquées","Jean Michel Rollin Roth Le Gentil","Jean Rollin","France"
